amount,contribution-funding-status,developer-agreement-contribution,developer-agreement-transaction,end-date,entry-date,organisation,start-date,units,slug
1125000,received,dac-2012-0084-02,dat-2012-0084-02-01,,2020-11-25,local-authority-eng:AMB,2013-02-20,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2012-0084-02-01
,secured,dac-2012-0084-03,dat-2012-0084-03-01,,2020-11-25,local-authority-eng:AMB,2013-02-20,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2012-0084-03-01
,secured,dac-2012-0084-04,dat-2012-0084-04-01,,2020-11-25,local-authority-eng:AMB,2013-02-20,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2012-0084-04-01
100,secured,dac-2012-0084-05,dat-2012-0084-05-01,,2020-11-25,local-authority-eng:AMB,2013-02-20,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2012-0084-05-01
25984,received,dac-2012-0084-06,dat-2012-0084-06-01,,2020-11-25,local-authority-eng:AMB,2019-08-13,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2012-0084-06-01
,secured,dac-2012-0084-07,dat-2012-0084-07-01,,2020-11-25,local-authority-eng:AMB,2013-02-20,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2012-0084-07-01
100,secured,dac-2012-0965-01,dat-2012-0965-01-01,,2020-11-11,local-authority-eng:AMB,,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2012-0965-01-01
49772.74,received,dac-2012-0965-02,dat-2012-0965-02-01,,2020-11-11,local-authority-eng:AMB,2020-01-21,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2012-0965-02-01
,secured,dac-2012-0965-03,dat-2012-0965-03-01,,2020-11-11,local-authority-eng:AMB,,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2012-0965-03-01
100,secured,dac-2012-1157-01,dat-2012-1157-01-01,,2020-11-11,local-authority-eng:AMB,,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2012-1157-01-01
55077.22,secured,dac-2012-1157-02,dat-2012-1157-02-01,,2020-11-11,local-authority-eng:AMB,,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2012-1157-02-01
43520.4,received,dac-2012-1157-03,dat-2012-1157-03-01,,2020-11-11,local-authority-eng:AMB,2020-01-21,99,/developer-agreement-transaction/local-authority-eng/AMB/dat-2012-1157-03-01
383031.66,secured,dac-2012-1157-04,dat-2012-1157-04-01,,2020-11-11,local-authority-eng:AMB,,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2012-1157-04-01
,secured,dac-2012-1157-05,dat-2012-1157-05-01,,2020-11-11,local-authority-eng:AMB,,7,/developer-agreement-transaction/local-authority-eng/AMB/dat-2012-1157-05-01
,secured,dac-2014-0553-01,dat-2014-0553-01-01,,2020-11-11,local-authority-eng:AMB,,7,/developer-agreement-transaction/local-authority-eng/AMB/dat-2014-0553-01-01
115000,secured,dac-2014-0553-02,dat-2014-0553-02-01,,2020-11-11,local-authority-eng:AMB,,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2014-0553-02-01
55000,secured,dac-2014-0553-03,dat-2014-0553-03-01,,2020-11-11,local-authority-eng:AMB,,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2014-0553-03-01
30000,secured,dac-2014-0553-04,dat-2014-0553-04-01,,2020-11-11,local-authority-eng:AMB,,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2014-0553-04-01
1775.8,secured,dac-2014-0678-01,dat-2014-0678-01-01,,2020-11-11,local-authority-eng:AMB,,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2014-0678-01-01
100,received,dac-2014-0678-02,dat-2014-0678-02-01,,2020-11-11,local-authority-eng:AMB,2019-11-15,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2014-0678-02-01
,secured,dac-2014-0678-03,dat-2014-0678-03-01,,2020-11-11,local-authority-eng:AMB,,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2014-0678-03-01
,secured,dac-2014-0678-04,dat-2014-0678-04-01,,2020-11-11,local-authority-eng:AMB,,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2014-0678-04-01
,secured,dac-2014-1157-06,dat-2014-1157-06-01,,2020-11-11,local-authority-eng:AMB,,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2014-1157-06-01
134497.92,secured,dac-2017-1363-01,dat-2017-1363-01-01,,2020-11-01,local-authority-eng:AMB,2020-01-13,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2017-1363-01-01
19242,secured,dac-2017-1363-02,dat-2017-1363-02-01,,2020-11-01,local-authority-eng:AMB,2020-01-13,17,/developer-agreement-transaction/local-authority-eng/AMB/dat-2017-1363-02-01
27840,secured,dac-2017-1363-03,dat-2017-1363-03-01,,2020-11-01,local-authority-eng:AMB,2020-01-13,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2017-1363-03-01
20000,secured,dac-2017-1363-04,dat-2017-1363-04-01,,2020-11-01,local-authority-eng:AMB,2020-01-13,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2017-1363-04-01
100,secured,dac-2017-1363-05,dat-2017-1363-05-01,,2020-11-01,local-authority-eng:AMB,2020-01-13,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2017-1363-05-01
,secured,dac-2017-1363-06,dat-2017-1363-06-01,,2020-11-01,local-authority-eng:AMB,2020-01-13,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2017-1363-06-01
39068,secured,dac-2018-0178-01,dat-2018-0178-01-01,,2020-11-01,local-authority-eng:AMB,2020-02-07,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2018-0178-01-01
115752.45,secured,dac-2018-0178-02,dat-2018-0178-02-01,,2020-11-01,local-authority-eng:AMB,2020-02-07,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2018-0178-02-01
34647,secured,dac-2018-0178-03,dat-2018-0178-03-01,,2020-11-01,local-authority-eng:AMB,2020-02-07,6,/developer-agreement-transaction/local-authority-eng/AMB/dat-2018-0178-03-01
100,secured,dac-2018-0178-04,dat-2018-0178-04-01,,2020-11-01,local-authority-eng:AMB,2020-02-07,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2018-0178-04-01
76488,secured,dac-2018-0338-01,dat-2018-0338-01-01,,2020-11-01,local-authority-eng:AMB,2019-04-10,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2018-0338-01-01
1295011.2,secured,dac-2018-0338-02,dat-2018-0338-02-01,,2020-11-01,local-authority-eng:AMB,2019-04-10,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2018-0338-02-01
13000,secured,dac-2018-0338-03,dat-2018-0338-03-01,,2020-11-01,local-authority-eng:AMB,2019-04-10,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2018-0338-03-01
,secured,dac-2018-0338-04,dat-2018-0338-04-01,,2020-11-01,local-authority-eng:AMB,2019-04-10,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2018-0338-04-01
,secured,dac-2018-0338-05,dat-2018-0338-05-01,,2020-11-01,local-authority-eng:AMB,2019-04-10,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2018-0338-05-01
5000,secured,dac-2018-0338-06,dat-2018-0338-06-01,,2020-11-01,local-authority-eng:AMB,2019-04-10,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2018-0338-06-01
100,secured,dac-2018-0338-07,dat-2018-0338-07-01,,2020-11-01,local-authority-eng:AMB,2019-04-10,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2018-0338-07-01
35516,secured,dac-2018-0661-01,dat-2018-0661-01-01,,2020-11-01,local-authority-eng:AMB,2019-03-29,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2018-0661-01-01
99628.51,secured,dac-2018-0661-02,dat-2018-0661-02-01,,2020-11-01,local-authority-eng:AMB,2019-03-29,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2018-0661-02-01
,secured,dac-2018-0661-03,dat-2018-0661-03-01,,2020-11-01,local-authority-eng:AMB,2019-03-29,7,/developer-agreement-transaction/local-authority-eng/AMB/dat-2018-0661-03-01
18236.4,secured,dac-2018-0978-01,dat-2018-0978-01-01,,2020-11-01,local-authority-eng:AMB,2020-02-07,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2018-0978-01-01
80938.3,secured,dac-2018-0978-02,dat-2018-0978-02-01,,2020-11-01,local-authority-eng:AMB,2020-02-07,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2018-0978-02-01
,secured,dac-2018-0978-03,dat-2018-0978-03-01,,2020-11-01,local-authority-eng:AMB,2020-02-07,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2018-0978-03-01
,secured,dac-2018-0978-04,dat-2018-0978-04-01,,2020-11-01,local-authority-eng:AMB,2020-02-07,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2018-0978-04-01
500,secured,dac-2018-0978-05,dat-2018-0978-05-01,,2020-11-01,local-authority-eng:AMB,2020-02-07,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2018-0978-05-01
39521.46,secured,dac-2018-1006-01,dat-2018-1006-01-01,,2020-11-01,local-authority-eng:AMB,2020-01-31,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2018-1006-01-01
288178.77,secured,dac-2018-1006-02,dat-2018-1006-02-01,,2020-11-01,local-authority-eng:AMB,2020-01-31,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2018-1006-02-01
,secured,dac-2018-1006-03,dat-2018-1006-03-01,,2020-11-01,local-authority-eng:AMB,2020-01-31,10,/developer-agreement-transaction/local-authority-eng/AMB/dat-2018-1006-03-01
300,secured,dac-2018-1006-04,dat-2018-1006-04-01,,2020-11-01,local-authority-eng:AMB,2020-01-31,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2018-1006-04-01
33740.2,secured,dac-2019-0120-01,dat-2019-0120-01-01,,2020-11-01,local-authority-eng:AMB,2020-01-23,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2019-0120-01-01
19242,secured,dac-2019-0120-02,dat-2019-0120-02-01,,2020-11-01,local-authority-eng:AMB,2020-01-23,5,/developer-agreement-transaction/local-authority-eng/AMB/dat-2019-0120-02-01
300,secured,dac-2019-0120-03,dat-2019-0120-03-01,,2020-11-01,local-authority-eng:AMB,2020-01-23,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2019-0120-03-01
26637,secured,dac-2019-0424-01,dat-2019-0424-01-01,,2020-11-01,local-authority-eng:AMB,2020-03-24,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2019-0424-01-01
78139.81,secured,dac-2019-0424-02,dat-2019-0424-02-01,,2020-11-01,local-authority-eng:AMB,2020-03-24,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2019-0424-02-01
5782.08,secured,dac-2019-0424-03,dat-2019-0424-03-01,,2020-11-01,local-authority-eng:AMB,2020-03-24,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2019-0424-03-01
,secured,dac-2019-0424-04,dat-2019-0424-04-01,,2020-11-01,local-authority-eng:AMB,2020-03-24,5,/developer-agreement-transaction/local-authority-eng/AMB/dat-2019-0424-04-01
,received,dac-2019-0424-05,dat-2019-0424-05-01,,2021-03-25,local-authority-eng:AMB,,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2019-0424-05-01
17758,secured,dac-2019-0744-01,dat-2019-0744-01-01,,2020-11-01,local-authority-eng:AMB,2019-12-19,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2019-0744-01-01
,secured,dac-2019-0744-02,dat-2019-0744-02-01,,2021-03-25,local-authority-eng:AMB,,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2019-0744-02-01
4950,allocated,00940/17-dc1,00940/17-dt1,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/00940-17-dt1
400,spent,01595/17-dc1,01595/17-dt1,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/01595-17-dt1
24823.75,allocated,02335/17-dc1,02335/17-dt1,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/02335-17-dt1
4850,allocated,02435/17-dc1,02435/17-dt1,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/02435-17-dt1
12397.1,allocated,02456/17-dc1,02456/17-dt1,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/02456-17-dt1
25273.36,allocated,03484/18-dc1,03484/18-dt1,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/03484-18-dt1
4480.27,allocated,04044/18-dc1,04044/18-dt1,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/04044-18-dt1
9560.06,allocated,04044/18-dc2,04044/18-dt2,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/04044-18-dt2
5000,allocated,04748/18-dc1,04748/18-dt1,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/04748-18-dt1
48505,allocated,31080/88-dc1,31080/88-dt1,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/31080-88-dt1
5628.8,allocated,36153/90-dc1,36153/90-dt1,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/36153-90-dt1
15464.38,allocated,36912/92-dc1,36912/92-dt1,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/36912-92-dt1
23102.34,allocated,37390/90-dc1,37390/90-dt1,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/37390-90-dt1
7685.32,spent,37395/90-dc1,37395/90-dt1,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/37395-90-dt1
1943.8,allocated,43439/93-dc1,43439/93-dt1,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/43439-93-dt1
5652.75,allocated,45255/94-dc1,45255/94-dt1,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/45255-94-dt1
9586.99,allocated,47118/95-dc1,47118/95-dt1,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/47118-95-dt1
1682,allocated,47641/95-dc1,47641/95-dt1,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/47641-95-dt1
3205,spent,47874/95-dc1,47874/95-dt1,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/47874-95-dt1
6717.44,allocated,48401/96-dc1,48401/96-dt1,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/48401-96-dt1
3711.5,allocated,48793/96-dc1,48793/96-dt1,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/48793-96-dt1
2020.8,allocated,48793/96-dc2,48793/96-dt2,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/48793-96-dt2
1855.75,spent,48793/96-dc1,48793/96-dt3,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/48793-96-dt3
1010.4,spent,48793/96-dc2,48793/96-dt4,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/48793-96-dt4
446.6,spent,48883/96-dc1,48883/96-dt1,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/48883-96-dt1
1480.42,allocated,49236/96-dc1,49236/96-dt1,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/49236-96-dt1
11874.79,allocated,49236/96-dc2,49236/96-dt2,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/49236-96-dt2
740.19,spent,49236/96-dc1,49236/96-dt3,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/49236-96-dt3
930,spent,49236/96-dc2,49236/96-dt4,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/49236-96-dt4
14493.78,allocated,49577/96-dc1,49577/96-dt1,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/49577-96-dt1
23571.01,allocated,49577/96-dc2,49577/96-dt2,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/49577-96-dt2
2609.45,spent,49577/96-dc1,49577/96-dt3,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/49577-96-dt3
1087.67,spent,49577/96-dc2,49577/96-dt4,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/49577-96-dt4
18000,allocated,50028/97-dc1,50028/97-dt1,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/50028-97-dt1
300,spent,54285/99-dc1,54285/99-dt1,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/54285-99-dt1
34150,allocated,55705/99-dc1,55705/99-dt1,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/55705-99-dt1
28438,allocated,55870/99-dc1,55870/99-dt1,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/55870-99-dt1
9400,allocated,57008/00-dc1,57008/00-dt1,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/57008-00-dt1
14326.74,spent,59154/01-dc1,59154/01-dt1,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/59154-01-dt1
1931.98,allocated,59315/01-dc1,59315/01-dt1,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/59315-01-dt1
2470,allocated,62817/02-dc1,62817/02-dt1,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/62817-02-dt1
7367.72,allocated,63515/02-dc1,63515/02-dt1,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/63515-02-dt1
1918.83,spent,63959/03-dc1,63959/03-dt1,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/63959-03-dt1
8289.13,allocated,63993/03-dc1,63993/03-dt1,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/63993-03-dt1
25275,allocated,64023/03-dc1,64023/03-dt1,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/64023-03-dt1
46552.85,allocated,65785/03-dc1,65785/03-dt1,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/65785-03-dt1
49000,allocated,66201/03-dc1,66201/03-dt1,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/66201-03-dt1
812.88,allocated,67274/04-dc1,67274/04-dt1,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/67274-04-dt1
60255.8,allocated,67335/04-dc1,67335/04-dt1,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/67335-04-dt1
4766.13,spent,67335/04-dc1,67335/04-dt2,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/67335-04-dt2
823.63,spent,67373/04-dc1,67373/04-dt1,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/67373-04-dt1
885.21,allocated,68726/04-dc1,68726/04-dt1,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/68726-04-dt1
3000,allocated,69193/04-dc1,69193/04-dt1,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/69193-04-dt1
29200,allocated,69252/04-dc1,69252/04-dt1,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/69252-04-dt1
1500,allocated,69393/04-dc1,69393/04-dt1,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/69393-04-dt1
41333.97,allocated,70143/05-dc1,70143/05-dt1,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/70143-05-dt1
61870,allocated,70243/05-dc1,70243/05-dt1,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/70243-05-dt1
24759.16,allocated,70243/05-dc2,70243/05-dt2,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/70243-05-dt2
14834.71,allocated,70243/05-dc3,70243/05-dt3,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/70243-05-dt3
9994,allocated,70897/05-dc1,70897/05-dt1,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/70897-05-dt1
314050.58,allocated,72253/05-dc1,72253/05-dt1,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/72253-05-dt1
42675,allocated,72898/05-dc1,72898/05-dt1,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/72898-05-dt1
20606.84,allocated,74472/06-dc1,74472/06-dt1,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/74472-06-dt1
349960.86,allocated,74472/06-dc2,74472/06-dt2,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/74472-06-dt2
32447.47,allocated,75033/06-dc2,75033/06-dt1,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/75033-06-dt1
712.45,spent,75230/06-dc1,75230/06-dt1,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/75230-06-dt1
1050,allocated,75492/06-dc1,75492/06-dt1,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/75492-06-dt1
14977.1,allocated,75848/06-dc1,75848/06-dt1,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/75848-06-dt1
74418.51,allocated,76656/07-dc1,76656/07-dt1,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/76656-07-dt1
24946,allocated,76656/07-dc2,76656/07-dt2,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/76656-07-dt2
22138.6,allocated,76893/07-dc1,76893/07-dt1,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/76893-07-dt1
14350,allocated,77241/07-dc1,77241/07-dt1,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/77241-07-dt1
46281.25,allocated,77289/97-dc1,77289/97-dt1,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/77289-97-dt1
29002,allocated,78000/07-dc1,78000/07-dt1,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/78000-07-dt1
23045.55,allocated,78010/07-dc1,78010/07-dt1,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/78010-07-dt1
17936.47,allocated,78010/07-dc2,78010/07-dt2,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/78010-07-dt2
232.78,spent,78010/07-dc1,78010/07-dt3,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/78010-07-dt3
686.23,spent,78010/07-dc2,78010/07-dt4,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/78010-07-dt4
2500,allocated,78526/07-dc1,78526/07-dt1,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/78526-07-dt1
2470,allocated,79100/07-dc1,79100/07-dt1,,2020-03-31,local-authority-eng:BOL,2020-03-31,,/developer-agreement-transaction/local-authority-eng/BOL/79100-07-dt1
