amount,contribution-purpose,developer-agreement,developer-agreement-contribution,end-date,entry-date,organisation,start-date,units,slug
11833,open-space-and-leisure,11/01755/S106,11/01755/S106/4,,2011-02-18,local-authority-eng:NTY,2011-02-18,,/developer-agreement-contribution/local-authority-eng/NTY/11-01755-S106-4
12100,health,11/01756/S106,11/01756/S106/1,,2011-08-18,local-authority-eng:NTY,2011-08-18,,/developer-agreement-contribution/local-authority-eng/NTY/11-01756-S106-1
212900,affordable-housing,11/01756/S106,11/01756/S106/2,,2011-08-18,local-authority-eng:NTY,2011-08-18,,/developer-agreement-contribution/local-authority-eng/NTY/11-01756-S106-2
0,green-infrastructure,11/01818/S106,11/01818/S106/1,,2011-12-19,local-authority-eng:NTY,2011-12-19,,/developer-agreement-contribution/local-authority-eng/NTY/11-01818-S106-1
0,highways,11/01818/S106,11/01818/S106/2,,2011-12-19,local-authority-eng:NTY,2011-12-19,,/developer-agreement-contribution/local-authority-eng/NTY/11-01818-S106-2
125000,highways,11/01818/S106,11/01818/S106/3,,2011-12-19,local-authority-eng:NTY,2011-12-19,,/developer-agreement-contribution/local-authority-eng/NTY/11-01818-S106-3
10500,other,11/01818/S106,11/01818/S106/4,,2011-12-19,local-authority-eng:NTY,2011-12-19,,/developer-agreement-contribution/local-authority-eng/NTY/11-01818-S106-4
10500,other,11/01818/S106,11/01818/S106/5,,2011-12-19,local-authority-eng:NTY,2011-12-19,,/developer-agreement-contribution/local-authority-eng/NTY/11-01818-S106-5
0,other,11/01818/S106,11/01818/S106/6,,2011-12-19,local-authority-eng:NTY,2011-12-19,,/developer-agreement-contribution/local-authority-eng/NTY/11-01818-S106-6
0,other,11/01818/S106,11/01818/S106/7,,2011-12-19,local-authority-eng:NTY,2011-12-19,,/developer-agreement-contribution/local-authority-eng/NTY/11-01818-S106-7
92500,economic-development,11/01818/S106,11/01818/S106/8,,2011-12-19,local-authority-eng:NTY,2011-12-19,,/developer-agreement-contribution/local-authority-eng/NTY/11-01818-S106-8
0,green-infrastructure,11/01867/S106,11/01867/S106/1,,2011-12-19,local-authority-eng:NTY,2011-12-19,,/developer-agreement-contribution/local-authority-eng/NTY/11-01867-S106-1
62715,community-facilities,11/01867/S106,11/01867/S106/10,,2011-12-19,local-authority-eng:NTY,2011-12-19,,/developer-agreement-contribution/local-authority-eng/NTY/11-01867-S106-10
27349,open-space-and-leisure,11/01867/S106,11/01867/S106/11,,2011-12-19,local-authority-eng:NTY,2011-12-19,,/developer-agreement-contribution/local-authority-eng/NTY/11-01867-S106-11
5400,community-facilities,11/01867/S106,11/01867/S106/12,,2011-12-19,local-authority-eng:NTY,2011-12-19,,/developer-agreement-contribution/local-authority-eng/NTY/11-01867-S106-12
20000,highways,11/01867/S106,11/01867/S106/13,,2011-12-19,local-authority-eng:NTY,2011-12-19,,/developer-agreement-contribution/local-authority-eng/NTY/11-01867-S106-13
0,green-infrastructure,11/01867/S106,11/01867/S106/2,,2011-12-19,local-authority-eng:NTY,2011-12-19,,/developer-agreement-contribution/local-authority-eng/NTY/11-01867-S106-2
0,green-infrastructure,11/01867/S106,11/01867/S106/3,,2011-12-19,local-authority-eng:NTY,2011-12-19,,/developer-agreement-contribution/local-authority-eng/NTY/11-01867-S106-3
0,affordable-housing,11/01867/S106,11/01867/S106/4,,2011-12-19,local-authority-eng:NTY,2011-12-19,,/developer-agreement-contribution/local-authority-eng/NTY/11-01867-S106-4
6425,green-infrastructure,11/01867/S106,11/01867/S106/5,,2011-12-19,local-authority-eng:NTY,2011-12-19,,/developer-agreement-contribution/local-authority-eng/NTY/11-01867-S106-5
3000,green-infrastructure,11/01867/S106,11/01867/S106/6,,2011-12-19,local-authority-eng:NTY,2011-12-19,,/developer-agreement-contribution/local-authority-eng/NTY/11-01867-S106-6
25000,economic-development,11/01867/S106,11/01867/S106/7,,2011-12-19,local-authority-eng:NTY,2011-12-19,,/developer-agreement-contribution/local-authority-eng/NTY/11-01867-S106-7
85000,highways,11/01867/S106,11/01867/S106/8,,2011-12-19,local-authority-eng:NTY,2011-12-19,,/developer-agreement-contribution/local-authority-eng/NTY/11-01867-S106-8
86863,community-facilities,11/01867/S106,11/01867/S106/9,,2011-12-19,local-authority-eng:NTY,2011-12-19,,/developer-agreement-contribution/local-authority-eng/NTY/11-01867-S106-9
1790,open-space-and-leisure,11/01942/S106,11/01942/S106/1,,2011-09-19,local-authority-eng:NTY,2011-09-19,,/developer-agreement-contribution/local-authority-eng/NTY/11-01942-S106-1
5000,highways,11/01967/S106,11/01967/S106/1,,2011-12-01,local-authority-eng:NTY,2011-12-01,,/developer-agreement-contribution/local-authority-eng/NTY/11-01967-S106-1
3206,community-facilities,11/01967/S106,11/01967/S106/2,,2011-12-01,local-authority-eng:NTY,2011-12-01,,/developer-agreement-contribution/local-authority-eng/NTY/11-01967-S106-2
1365,community-facilities,11/01967/S106,11/01967/S106/3,,2011-12-01,local-authority-eng:NTY,2011-12-01,,/developer-agreement-contribution/local-authority-eng/NTY/11-01967-S106-3
6776,health,11/01967/S106,11/01967/S106/4,,2011-12-01,local-authority-eng:NTY,2011-12-01,,/developer-agreement-contribution/local-authority-eng/NTY/11-01967-S106-4
2700,community-facilities,11/02420/S106,11/02420/S106/1,,2012-08-16,local-authority-eng:NTY,2012-08-16,,/developer-agreement-contribution/local-authority-eng/NTY/11-02420-S106-1
9160,open-space-and-leisure,11/02420/S106,11/02420/S106/2,,2012-08-16,local-authority-eng:NTY,2012-08-16,,/developer-agreement-contribution/local-authority-eng/NTY/11-02420-S106-2
4635,transport-and-travel,11/02420/S106,11/02420/S106/3,,2012-08-16,local-authority-eng:NTY,2012-08-16,,/developer-agreement-contribution/local-authority-eng/NTY/11-02420-S106-3
35000,highways,11/02420/S106,11/02420/S106/4,,2012-08-16,local-authority-eng:NTY,2012-08-16,,/developer-agreement-contribution/local-authority-eng/NTY/11-02420-S106-4
5038,open-space-and-leisure,12/00415/S106,12/00415/S106/1,,2013-03-12,local-authority-eng:NTY,2013-03-12,,/developer-agreement-contribution/local-authority-eng/NTY/12-00415-S106-1
7469,open-space-and-leisure,12/00415/S106,12/00415/S106/2,,2013-03-12,local-authority-eng:NTY,2013-03-12,,/developer-agreement-contribution/local-authority-eng/NTY/12-00415-S106-2
0,green-infrastructure,12/00598/S106,12/00598/S106/1,,2012-06-28,local-authority-eng:NTY,2012-06-28,,/developer-agreement-contribution/local-authority-eng/NTY/12-00598-S106-1
600,transport-and-travel,12/00598/S106,12/00598/S106/2,,2012-06-28,local-authority-eng:NTY,2012-06-28,,/developer-agreement-contribution/local-authority-eng/NTY/12-00598-S106-2
5000,highways,12/00598/S106,12/00598/S106/3,,2012-06-28,local-authority-eng:NTY,2012-06-28,,/developer-agreement-contribution/local-authority-eng/NTY/12-00598-S106-3
0,affordable-housing,12/01166/S106,12/01166/S106/1,,2012-07-12,local-authority-eng:NTY,2012-07-12,13,/developer-agreement-contribution/local-authority-eng/NTY/12-01166-S106-1
39280,transport-and-travel,12/01166/S106,12/01166/S106/2,,2012-07-12,local-authority-eng:NTY,2012-07-12,,/developer-agreement-contribution/local-authority-eng/NTY/12-01166-S106-2
47000,education,12/01166/S106,12/01166/S106/3,,2012-07-12,local-authority-eng:NTY,2012-07-12,,/developer-agreement-contribution/local-authority-eng/NTY/12-01166-S106-3
262500,highways,12/01166/S106,12/01166/S106/4,,2012-07-12,local-authority-eng:NTY,2012-07-12,,/developer-agreement-contribution/local-authority-eng/NTY/12-01166-S106-4
840000,education,12/01233/S106,12/01233/S106/1,,2011-12-06,local-authority-eng:NTY,2011-12-06,,/developer-agreement-contribution/local-authority-eng/NTY/12-01233-S106-1
3000000,affordable-housing,12/01233/S106,12/01233/S106/2,,2011-12-06,local-authority-eng:NTY,2011-12-06,,/developer-agreement-contribution/local-authority-eng/NTY/12-01233-S106-2
10000,highways,12/01234/S106,12/01234/S106/1,,2012-09-17,local-authority-eng:NTY,2012-09-17,,/developer-agreement-contribution/local-authority-eng/NTY/12-01234-S106-1
6776,health,12/01234/S106,12/01234/S106/2,,2012-09-17,local-authority-eng:NTY,2012-09-17,,/developer-agreement-contribution/local-authority-eng/NTY/12-01234-S106-2
9506,open-space-and-leisure,12/01234/S106,12/01234/S106/3,,2012-09-17,local-authority-eng:NTY,2012-09-17,,/developer-agreement-contribution/local-authority-eng/NTY/12-01234-S106-3
7504,open-space-and-leisure,12/01234/S106,12/01234/S106/4,,2012-09-17,local-authority-eng:NTY,2012-09-17,,/developer-agreement-contribution/local-authority-eng/NTY/12-01234-S106-4
4353,open-space-and-leisure,12/01392/S106,12/01392/S106/1,,2013-01-28,local-authority-eng:NTY,2013-01-28,,/developer-agreement-contribution/local-authority-eng/NTY/12-01392-S106-1
2613,community-facilities,12/01392/S106,12/01392/S106/2,,2013-01-28,local-authority-eng:NTY,2013-01-28,,/developer-agreement-contribution/local-authority-eng/NTY/12-01392-S106-2
4785,economic-development,12/01514/S106,12/01514/S106/1,,2013-01-07,local-authority-eng:NTY,2013-01-07,,/developer-agreement-contribution/local-authority-eng/NTY/12-01514-S106-1
24700,highways,12/01514/S106,12/01514/S106/2,,2013-01-07,local-authority-eng:NTY,2013-01-07,,/developer-agreement-contribution/local-authority-eng/NTY/12-01514-S106-2
6412,green-infrastructure,12/01957/S106,12/01957/S106/1,,2013-02-26,local-authority-eng:NTY,2013-02-26,,/developer-agreement-contribution/local-authority-eng/NTY/12-01957-S106-1
0,other,13/00293/S106,13/00293/S106/1,,2011-02-16,local-authority-eng:NTY,2011-02-16,,/developer-agreement-contribution/local-authority-eng/NTY/13-00293-S106-1
21863,community-facilities,13/00293/S106,13/00293/S106/10,,2011-02-16,local-authority-eng:NTY,2011-02-16,,/developer-agreement-contribution/local-authority-eng/NTY/13-00293-S106-10
150000,health,13/00293/S106,13/00293/S106/11,,2011-02-16,local-authority-eng:NTY,2011-02-16,,/developer-agreement-contribution/local-authority-eng/NTY/13-00293-S106-11
42190,community-facilities,13/00293/S106,13/00293/S106/12,,2011-02-16,local-authority-eng:NTY,2011-02-16,,/developer-agreement-contribution/local-authority-eng/NTY/13-00293-S106-12
210000,community-facilities,13/00293/S106,13/00293/S106/13,,2011-02-16,local-authority-eng:NTY,2011-02-16,,/developer-agreement-contribution/local-authority-eng/NTY/13-00293-S106-13
0,green-infrastructure,13/00293/S106,13/00293/S106/2,,2011-02-16,local-authority-eng:NTY,2011-02-16,,/developer-agreement-contribution/local-authority-eng/NTY/13-00293-S106-2
0,affordable-housing,13/00293/S106,13/00293/S106/3,,2011-02-16,local-authority-eng:NTY,2011-02-16,15,/developer-agreement-contribution/local-authority-eng/NTY/13-00293-S106-3
0,affordable-housing,13/00293/S106,13/00293/S106/4,,2011-02-16,local-authority-eng:NTY,2011-02-16,51,/developer-agreement-contribution/local-authority-eng/NTY/13-00293-S106-4
0,affordable-housing,13/00293/S106,13/00293/S106/5,,2011-02-16,local-authority-eng:NTY,2011-02-16,9,/developer-agreement-contribution/local-authority-eng/NTY/13-00293-S106-5
150000,transport-and-travel,13/00293/S106,13/00293/S106/6,,2011-02-16,local-authority-eng:NTY,2011-02-16,,/developer-agreement-contribution/local-authority-eng/NTY/13-00293-S106-6
5000,other,13/00293/S106,13/00293/S106/7,,2011-02-16,local-authority-eng:NTY,2011-02-16,,/developer-agreement-contribution/local-authority-eng/NTY/13-00293-S106-7
32805,community-facilities,13/00293/S106,13/00293/S106/8,,2011-02-16,local-authority-eng:NTY,2011-02-16,,/developer-agreement-contribution/local-authority-eng/NTY/13-00293-S106-8
100000,economic-development,13/00293/S106,13/00293/S106/9,,2011-02-16,local-authority-eng:NTY,2011-02-16,,/developer-agreement-contribution/local-authority-eng/NTY/13-00293-S106-9
6412,open-space-and-leisure,13/00294/S106,13/00294/S106/1,,2014-08-01,local-authority-eng:NTY,2014-08-01,,/developer-agreement-contribution/local-authority-eng/NTY/13-00294-S106-1
2730,green-infrastructure,13/00294/S106,13/00294/S106/2,,2014-08-01,local-authority-eng:NTY,2014-08-01,,/developer-agreement-contribution/local-authority-eng/NTY/13-00294-S106-2
10000,highways,13/00572/S106,13/00572/S106/1,,2013-03-28,local-authority-eng:NTY,2013-03-28,,/developer-agreement-contribution/local-authority-eng/NTY/13-00572-S106-1
2730,green-infrastructure,13/00851/S106,13/00851/S106/1,,2013-05-16,local-authority-eng:NTY,2013-05-16,,/developer-agreement-contribution/local-authority-eng/NTY/13-00851-S106-1
2363,education,13/00851/S106,13/00851/S106/2,,2013-05-16,local-authority-eng:NTY,2013-05-16,,/developer-agreement-contribution/local-authority-eng/NTY/13-00851-S106-2
4763,open-space-and-leisure,13/00851/S106,13/00851/S106/3,,2013-05-16,local-authority-eng:NTY,2013-05-16,,/developer-agreement-contribution/local-authority-eng/NTY/13-00851-S106-3
14740,green-infrastructure,13/00852/S106,13/00852/S106/1,,2005-07-21,local-authority-eng:NTY,2005-07-21,,/developer-agreement-contribution/local-authority-eng/NTY/13-00852-S106-1
108702,open-space-and-leisure,13/00852/S106,13/00852/S106/2,,2005-07-21,local-authority-eng:NTY,2005-07-21,,/developer-agreement-contribution/local-authority-eng/NTY/13-00852-S106-2
0,affordable-housing,13/00947/S106,13/00947/S106/1,,2013-06-10,local-authority-eng:NTY,2013-06-10,27,/developer-agreement-contribution/local-authority-eng/NTY/13-00947-S106-1
20865,green-infrastructure,13/00947/S106,13/00947/S106/2,,2013-06-10,local-authority-eng:NTY,2013-06-10,,/developer-agreement-contribution/local-authority-eng/NTY/13-00947-S106-2
49006,open-space-and-leisure,13/00947/S106,13/00947/S106/3,,2013-06-10,local-authority-eng:NTY,2013-06-10,,/developer-agreement-contribution/local-authority-eng/NTY/13-00947-S106-3
72653,open-space-and-leisure,13/00947/S106,13/00947/S106/4,,2013-06-10,local-authority-eng:NTY,2013-06-10,,/developer-agreement-contribution/local-authority-eng/NTY/13-00947-S106-4
8100,community-facilities,13/00947/S106,13/00947/S106/5,,2013-06-10,local-authority-eng:NTY,2013-06-10,,/developer-agreement-contribution/local-authority-eng/NTY/13-00947-S106-5
4763,open-space-and-leisure,13/01064/S106,13/01064/S106/1,,2013-07-12,local-authority-eng:NTY,2013-07-12,,/developer-agreement-contribution/local-authority-eng/NTY/13-01064-S106-1
200000,highways,13/01431/S106,13/01431/S106/1,,2013-10-10,local-authority-eng:NTY,2013-10-10,,/developer-agreement-contribution/local-authority-eng/NTY/13-01431-S106-1
0,affordable-housing,13/01432/S106,13/01432/S106/1,,2013-10-31,local-authority-eng:NTY,2013-10-31,19,/developer-agreement-contribution/local-authority-eng/NTY/13-01432-S106-1
136500,education,13/01432/S106,13/01432/S106/2,,2013-10-31,local-authority-eng:NTY,2013-10-31,,/developer-agreement-contribution/local-authority-eng/NTY/13-01432-S106-2
0,economic-development,13/01433/S106,13/01433/S106/1,,2013-02-11,local-authority-eng:NTY,2013-02-11,,/developer-agreement-contribution/local-authority-eng/NTY/13-01433-S106-1
2700,community-facilities,13/01433/S106,13/01433/S106/10,,2013-02-11,local-authority-eng:NTY,2013-02-11,,/developer-agreement-contribution/local-authority-eng/NTY/13-01433-S106-10
0,affordable-housing,13/01433/S106,13/01433/S106/2,,2013-02-11,local-authority-eng:NTY,2013-02-11,15,/developer-agreement-contribution/local-authority-eng/NTY/13-01433-S106-2
18705,community-facilities,13/01433/S106,13/01433/S106/3,,2013-02-11,local-authority-eng:NTY,2013-02-11,,/developer-agreement-contribution/local-authority-eng/NTY/13-01433-S106-3
19691,open-space-and-leisure,13/01433/S106,13/01433/S106/4,,2013-02-11,local-authority-eng:NTY,2013-02-11,,/developer-agreement-contribution/local-authority-eng/NTY/13-01433-S106-4
180000,community-facilities,13/01433/S106,13/01433/S106/5,,2013-02-11,local-authority-eng:NTY,2013-02-11,,/developer-agreement-contribution/local-authority-eng/NTY/13-01433-S106-5
13282,open-space-and-leisure,13/01433/S106,13/01433/S106/6,,2013-02-11,local-authority-eng:NTY,2013-02-11,,/developer-agreement-contribution/local-authority-eng/NTY/13-01433-S106-6
10000,green-infrastructure,13/01433/S106,13/01433/S106/7,,2013-02-11,local-authority-eng:NTY,2013-02-11,,/developer-agreement-contribution/local-authority-eng/NTY/13-01433-S106-7
20790,education,13/01433/S106,13/01433/S106/8,,2013-02-11,local-authority-eng:NTY,2013-02-11,,/developer-agreement-contribution/local-authority-eng/NTY/13-01433-S106-8
11310,green-infrastructure,13/01433/S106,13/01433/S106/9,,2013-02-11,local-authority-eng:NTY,2013-02-11,,/developer-agreement-contribution/local-authority-eng/NTY/13-01433-S106-9
0,affordable-housing,13/01737/S106,13/01737/S106/1,,2013-10-24,local-authority-eng:NTY,2013-10-24,16,/developer-agreement-contribution/local-authority-eng/NTY/13-01737-S106-1
0,green-infrastructure,13/01737/S106,13/01737/S106/2,,2013-10-24,local-authority-eng:NTY,2013-10-24,,/developer-agreement-contribution/local-authority-eng/NTY/13-01737-S106-2
39345,community-facilities,13/01737/S106,13/01737/S106/3,,2013-10-24,local-authority-eng:NTY,2013-10-24,,/developer-agreement-contribution/local-authority-eng/NTY/13-01737-S106-3
57000,education,13/01737/S106,13/01737/S106/4,,2013-10-24,local-authority-eng:NTY,2013-10-24,,/developer-agreement-contribution/local-authority-eng/NTY/13-01737-S106-4
43981,open-space-and-leisure,13/01737/S106,13/01737/S106/5,,2013-10-24,local-authority-eng:NTY,2013-10-24,,/developer-agreement-contribution/local-authority-eng/NTY/13-01737-S106-5
2730,green-infrastructure,13/02005/S106,13/02005/S106/1,,2013-12-20,local-authority-eng:NTY,2013-12-20,,/developer-agreement-contribution/local-authority-eng/NTY/13-02005-S106-1
6412,open-space-and-leisure,13/02005/S106,13/02005/S106/2,,2013-12-20,local-authority-eng:NTY,2013-12-20,,/developer-agreement-contribution/local-authority-eng/NTY/13-02005-S106-2
4753,open-space-and-leisure,13/02005/S106,13/02005/S106/3,,2013-12-20,local-authority-eng:NTY,2013-12-20,,/developer-agreement-contribution/local-authority-eng/NTY/13-02005-S106-3
2100,community-facilities,13/02005/S106,13/02005/S106/4,,2013-12-20,local-authority-eng:NTY,2013-12-20,,/developer-agreement-contribution/local-authority-eng/NTY/13-02005-S106-4
0,economic-development,14/00242/S106,14/00242/S106/1,,2014-02-27,local-authority-eng:NTY,2014-02-27,,/developer-agreement-contribution/local-authority-eng/NTY/14-00242-S106-1
0,affordable-housing,14/00242/S106,14/00242/S106/2,,2014-02-27,local-authority-eng:NTY,2014-02-27,17,/developer-agreement-contribution/local-authority-eng/NTY/14-00242-S106-2
-50000,highways,14/00242/S106,14/00242/S106/3,,2014-02-27,local-authority-eng:NTY,2014-02-27,,/developer-agreement-contribution/local-authority-eng/NTY/14-00242-S106-3
5500,transport-and-travel,14/00242/S106,14/00242/S106/4,,2014-02-27,local-authority-eng:NTY,2014-02-27,,/developer-agreement-contribution/local-authority-eng/NTY/14-00242-S106-4
13348,green-infrastructure,14/00242/S106,14/00242/S106/5,,2014-02-27,local-authority-eng:NTY,2014-02-27,,/developer-agreement-contribution/local-authority-eng/NTY/14-00242-S106-5
96923,community-facilities,14/00242/S106,14/00242/S106/6,,2014-02-27,local-authority-eng:NTY,2014-02-27,,/developer-agreement-contribution/local-authority-eng/NTY/14-00242-S106-6
31638,open-space-and-leisure,14/00242/S106,14/00242/S106/7,,2014-02-27,local-authority-eng:NTY,2014-02-27,,/developer-agreement-contribution/local-authority-eng/NTY/14-00242-S106-7
2700,community-facilities,14/00242/S106,14/00242/S106/8,,2014-02-27,local-authority-eng:NTY,2014-02-27,,/developer-agreement-contribution/local-authority-eng/NTY/14-00242-S106-8
0,affordable-housing,14/00473/S106,14/00473/S106/1,,2013-09-13,local-authority-eng:NTY,2013-09-13,24,/developer-agreement-contribution/local-authority-eng/NTY/14-00473-S106-1
10000,health,14/00473/S106,14/00473/S106/2,,2013-09-13,local-authority-eng:NTY,2013-09-13,,/developer-agreement-contribution/local-authority-eng/NTY/14-00473-S106-2
20815,green-infrastructure,14/00473/S106,14/00473/S106/3,,2013-09-13,local-authority-eng:NTY,2013-09-13,,/developer-agreement-contribution/local-authority-eng/NTY/14-00473-S106-3
15000,open-space-and-leisure,14/00473/S106,14/00473/S106/4,,2013-09-13,local-authority-eng:NTY,2013-09-13,,/developer-agreement-contribution/local-authority-eng/NTY/14-00473-S106-4
15000,community-facilities,14/00473/S106,14/00473/S106/5,,2013-09-13,local-authority-eng:NTY,2013-09-13,,/developer-agreement-contribution/local-authority-eng/NTY/14-00473-S106-5
100000,education,14/00473/S106,14/00473/S106/6,,2013-09-13,local-authority-eng:NTY,2013-09-13,,/developer-agreement-contribution/local-authority-eng/NTY/14-00473-S106-6
12000,highways,14/00473/S106,14/00473/S106/7,,2013-09-13,local-authority-eng:NTY,2013-09-13,,/developer-agreement-contribution/local-authority-eng/NTY/14-00473-S106-7
40000,highways,14/00473/S106,14/00473/S106/8,,2013-09-13,local-authority-eng:NTY,2013-09-13,,/developer-agreement-contribution/local-authority-eng/NTY/14-00473-S106-8
0,other,14/01139/S106,14/01139/S106/1,,2012-10-22,local-authority-eng:NTY,2012-10-22,,/developer-agreement-contribution/local-authority-eng/NTY/14-01139-S106-1
46630,community-facilities,14/01139/S106,14/01139/S106/10,,2012-10-22,local-authority-eng:NTY,2012-10-22,,/developer-agreement-contribution/local-authority-eng/NTY/14-01139-S106-10
335912,community-facilities,14/01139/S106,14/01139/S106/11,,2012-10-22,local-authority-eng:NTY,2012-10-22,,/developer-agreement-contribution/local-authority-eng/NTY/14-01139-S106-11
201180,open-space-and-leisure,14/01139/S106,14/01139/S106/12,,2012-10-22,local-authority-eng:NTY,2012-10-22,,/developer-agreement-contribution/local-authority-eng/NTY/14-01139-S106-12
24100,community-facilities,14/01139/S106,14/01139/S106/13,,2012-10-22,local-authority-eng:NTY,2012-10-22,,/developer-agreement-contribution/local-authority-eng/NTY/14-01139-S106-13
192229,open-space-and-leisure,14/01139/S106,14/01139/S106/14,,2012-10-22,local-authority-eng:NTY,2012-10-22,,/developer-agreement-contribution/local-authority-eng/NTY/14-01139-S106-14
201960,health,14/01139/S106,14/01139/S106/15,,2012-10-22,local-authority-eng:NTY,2012-10-22,,/developer-agreement-contribution/local-authority-eng/NTY/14-01139-S106-15
5520000,affordable-housing,14/01139/S106,14/01139/S106/16,,2012-10-22,local-authority-eng:NTY,2012-10-22,,/developer-agreement-contribution/local-authority-eng/NTY/14-01139-S106-16
100000,transport-and-travel,14/01139/S106,14/01139/S106/17,,2012-10-22,local-authority-eng:NTY,2012-10-22,,/developer-agreement-contribution/local-authority-eng/NTY/14-01139-S106-17
91000,highways,14/01139/S106,14/01139/S106/18,,2012-10-22,local-authority-eng:NTY,2012-10-22,,/developer-agreement-contribution/local-authority-eng/NTY/14-01139-S106-18
206628,highways,14/01139/S106,14/01139/S106/19,,2012-10-22,local-authority-eng:NTY,2012-10-22,,/developer-agreement-contribution/local-authority-eng/NTY/14-01139-S106-19
0,economic-development,14/01139/S106,14/01139/S106/2,,2012-10-22,local-authority-eng:NTY,2012-10-22,12,/developer-agreement-contribution/local-authority-eng/NTY/14-01139-S106-2
80550,highways,14/01139/S106,14/01139/S106/20,,2012-10-22,local-authority-eng:NTY,2012-10-22,,/developer-agreement-contribution/local-authority-eng/NTY/14-01139-S106-20
10385,highways,14/01139/S106,14/01139/S106/21,,2012-10-22,local-authority-eng:NTY,2012-10-22,,/developer-agreement-contribution/local-authority-eng/NTY/14-01139-S106-21
0,green-infrastructure,14/01139/S106,14/01139/S106/3,,2012-10-22,local-authority-eng:NTY,2012-10-22,,/developer-agreement-contribution/local-authority-eng/NTY/14-01139-S106-3
3000,green-infrastructure,14/01139/S106,14/01139/S106/4,,2012-10-22,local-authority-eng:NTY,2012-10-22,,/developer-agreement-contribution/local-authority-eng/NTY/14-01139-S106-4
5000,other,14/01139/S106,14/01139/S106/5,,2012-10-22,local-authority-eng:NTY,2012-10-22,,/developer-agreement-contribution/local-authority-eng/NTY/14-01139-S106-5
10000,green-infrastructure,14/01139/S106,14/01139/S106/6,,2012-10-22,local-authority-eng:NTY,2012-10-22,,/developer-agreement-contribution/local-authority-eng/NTY/14-01139-S106-6
62805,green-infrastructure,14/01139/S106,14/01139/S106/7,,2012-10-22,local-authority-eng:NTY,2012-10-22,,/developer-agreement-contribution/local-authority-eng/NTY/14-01139-S106-7
83441,community-facilities,14/01139/S106,14/01139/S106/8,,2012-10-22,local-authority-eng:NTY,2012-10-22,,/developer-agreement-contribution/local-authority-eng/NTY/14-01139-S106-8
211607,education,14/01139/S106,14/01139/S106/9,,2012-10-22,local-authority-eng:NTY,2012-10-22,,/developer-agreement-contribution/local-authority-eng/NTY/14-01139-S106-9
0,affordable-housing,14/01721/S106,14/01721/S106/1,,2015-02-27,local-authority-eng:NTY,2015-02-27,17,/developer-agreement-contribution/local-authority-eng/NTY/14-01721-S106-1
23425,open-space-and-leisure,14/01721/S106,14/01721/S106/10,,2015-02-27,local-authority-eng:NTY,2015-02-27,,/developer-agreement-contribution/local-authority-eng/NTY/14-01721-S106-10
15801,open-space-and-leisure,14/01721/S106,14/01721/S106/11,,2015-02-27,local-authority-eng:NTY,2015-02-27,,/developer-agreement-contribution/local-authority-eng/NTY/14-01721-S106-11
189113,green-infrastructure,14/01721/S106,14/01721/S106/2,,2015-02-27,local-authority-eng:NTY,2015-02-27,,/developer-agreement-contribution/local-authority-eng/NTY/14-01721-S106-2
8000,highways,14/01721/S106,14/01721/S106/3,,2015-02-27,local-authority-eng:NTY,2015-02-27,,/developer-agreement-contribution/local-authority-eng/NTY/14-01721-S106-3
19260,economic-development,14/01721/S106,14/01721/S106/4,,2015-02-27,local-authority-eng:NTY,2015-02-27,,/developer-agreement-contribution/local-authority-eng/NTY/14-01721-S106-4
32400,education,14/01721/S106,14/01721/S106/5,,2015-02-27,local-authority-eng:NTY,2015-02-27,,/developer-agreement-contribution/local-authority-eng/NTY/14-01721-S106-5
14662,community-facilities,14/01721/S106,14/01721/S106/6,,2015-02-27,local-authority-eng:NTY,2015-02-27,,/developer-agreement-contribution/local-authority-eng/NTY/14-01721-S106-6
22252,community-facilities,14/01721/S106,14/01721/S106/7,,2015-02-27,local-authority-eng:NTY,2015-02-27,,/developer-agreement-contribution/local-authority-eng/NTY/14-01721-S106-7
5400,community-facilities,14/01721/S106,14/01721/S106/8,,2015-02-27,local-authority-eng:NTY,2015-02-27,,/developer-agreement-contribution/local-authority-eng/NTY/14-01721-S106-8
6728,green-infrastructure,14/01721/S106,14/01721/S106/9,,2015-02-27,local-authority-eng:NTY,2015-02-27,,/developer-agreement-contribution/local-authority-eng/NTY/14-01721-S106-9
1170,green-infrastructure,14/01744/S106,14/01744/S106/1,,2014-10-28,local-authority-eng:NTY,2014-10-28,,/developer-agreement-contribution/local-authority-eng/NTY/14-01744-S106-1
2748,open-space-and-leisure,14/01744/S106,14/01744/S106/2,,2014-10-28,local-authority-eng:NTY,2014-10-28,,/developer-agreement-contribution/local-authority-eng/NTY/14-01744-S106-2
0,highways,14/01805/S106,14/01805/S106/1,,2014-10-20,local-authority-eng:NTY,2014-10-20,,/developer-agreement-contribution/local-authority-eng/NTY/14-01805-S106-1
0,affordable-housing,14/01904/S106,14/01904/S106/1,,2015-01-12,local-authority-eng:NTY,2015-01-12,10,/developer-agreement-contribution/local-authority-eng/NTY/14-01904-S106-1
27839,open-space-and-leisure,14/01904/S106,14/01904/S106/2,,2015-01-12,local-authority-eng:NTY,2015-01-12,,/developer-agreement-contribution/local-authority-eng/NTY/14-01904-S106-2
25000,education,14/01905/S106,14/01905/S106/1,,2015-07-20,local-authority-eng:NTY,2015-07-20,,/developer-agreement-contribution/local-authority-eng/NTY/14-01905-S106-1
